,Source,Target
641,Digital Currency Group,Ledger
641, Animoca Brands,Ledger
641, Bpifrance,Ledger
641, Draper Associates,Ledger
641, Uphold,Ledger
642,Sequoia Capital,MongoDB
642, Goldman Sachs,MongoDB
642, Union Square Ventures,MongoDB
642, Fidelity,MongoDB
642, T. Rowe Price,MongoDB
643,Andreessen Horowitz,Greenlight
643, JP Morgan Chase,Greenlight
643, Goodwater Capital,Greenlight
643, Wells Fargo,Greenlight
643, Evolution VC Partners,Greenlight
644,New Mountain Capital,IRI
644, Vestar Capital Partners,IRI
645,DCVC,Gro Intelligence
645, GGV Capital,Gro Intelligence
645, Intel Capital,Gro Intelligence
645, Bossa Nova Investimentos,Gro Intelligence
645, One Planet Group,Gro Intelligence
646,Alumni Ventures,Pacaso
646, Gaingels,Pacaso
646, 75 & Sunny,Pacaso
646, Fifth Wall,Pacaso
646, SoftBank Vision Fund,Pacaso
647,Lux Capital,Lumafield
647, LAUNCH,Lumafield
647, DCVC,Lumafield
647, Dylan Field,Lumafield
647, Haystack,Lumafield
648,Tencent,Rakuten
648, Walmart,Rakuten
648, Intel Capital,Rakuten
648, MVI (MENA Venture Investments),Rakuten
648, Japan Post Holdings,Rakuten
649,Berkshire Hathaway,Kroger
650,Highland Capital Partners,Huntress
650, SaaS Ventures,Huntress
650, JMI Equity,Huntress
650, Forgepoint Capital,Huntress
650, Blu Venture Investors,Huntress
651,Venture Catalysts,Instoried
651, EXPERT DOJO,Instoried
651, 9Unicorns Accelerator Fund,Instoried
651, Mumbai Angels,Instoried
651, Artesian VC,Instoried
652,Sequoia Capital,Rebel Foods
652, Goldman Sachs,Rebel Foods
652, Gojek,Rebel Foods
652, Coatue,Rebel Foods
652, Sequoia Capital India,Rebel Foods
654,HealthQuad,Medikabazaar
654, CDC Group,Medikabazaar
654, Rebright Partners,Medikabazaar
654, Lighthouse Funds,Medikabazaar
654, MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC),Medikabazaar
655,500 Startups,Intercom
655, GV,Intercom
655, Index Ventures,Intercom
655, Bessemer Venture Partners,Intercom
655, Vulcan Capital,Intercom
656,SAMA Trust,Newton School
656, AngelList,Newton School
656, Nexus Venture Partners,Newton School
656, Kunal Shah,Newton School
656, Sujeet Kumar,Newton School
657,Tidal Impact,Natural Fiber Welding
657, Gaingels,Natural Fiber Welding
657, Advantage Capital,Natural Fiber Welding
657, National Science Foundation,Natural Fiber Welding
657, Evolution VC Partners,Natural Fiber Welding
658,Advantage Capital,Medtronic
658, Blackstone Life Sciences,Medtronic
658, Trade Capital Funding,Medtronic
659,Tencent,Krafton
659, Altos Ventures,Krafton
659, IMM Investment,Krafton
659, Premier Partners,Krafton
660,Goldman Sachs,Nasuni
660, Flybridge,Nasuni
660, Silicon Valley Bank,Nasuni
660, Sixth Street,Nasuni
660, Dell Technologies Capital,Nasuni
661,Rockwell Automation,PTC
662,Blockchain Capital,Parallel Finance
662, Polychain,Parallel Finance
662, Slow Ventures,Parallel Finance
662, Coinbase Ventures,Parallel Finance
662, Lightspeed Venture Partners,Parallel Finance
663,Citi,Hopper
663, Goldman Sachs,Hopper
663, Brightspark Ventures,Hopper
663, OMERS Ventures,Hopper
663, Khaira Capital,Hopper
664,Greylock,Obsidian Security
664, Norwest Venture Partners,Obsidian Security
664, GV,Obsidian Security
664, Menlo Ventures,Obsidian Security
664, Wing Venture Capital,Obsidian Security
665,Redpoint,Juniper Square
665, Ribbit Capital,Juniper Square
665, Precursor Ventures,Juniper Square
665, OVO Fund,Juniper Square
665, Zigg Capital,Juniper Square
666,Neuberger Berman Group,Rocket Lab
666, BlackRock,Rocket Lab
666, Bessemer Venture Partners,Rocket Lab
666, DCVC,Rocket Lab
666, Khosla Ventures,Rocket Lab
667,Google,Planet
667, Lux Capital,Planet
667, BlackRock,Planet
667, Founders Fund,Planet
667, RedSeal,Planet
668,Animoca Brands,GOQii
668, Galaxy Digital,GOQii
668, BlackSoil,GOQii
668, Venture Catalysts,GOQii
668, 9Unicorns Accelerator Fund,GOQii
669,Digital Currency Group,Lightning Labs
669, NYDIG,Lightning Labs
669, M13,Lightning Labs
669, RRE Ventures,Lightning Labs
669, Slow Ventures,Lightning Labs
670,Technology Venture Investors,Microsoft
671,8VC,Omni
671, Founders Fund,Omni
671, Bolt,Omni
671, Flybridge,Omni
671, Kevin Lin,Omni
672,Goldman Sachs,Northvolt
672, Bpifrance,Northvolt
672, Siemens,Northvolt
672, Baillie Gifford,Northvolt
672, InnoEnergy,Northvolt
673,Sequoia Capital India,LambdaTest
673, Surge,LambdaTest
673, Wamda Capital,LambdaTest
673, Ramakant Sharma,LambdaTest
673, Blume Ventures,LambdaTest
674,Farfetch,Neiman Marcus Group
675,Silver Lake,Reliance Retail
675, Saudi Arabia's Public Investment Fund,Reliance Retail
675, TPG,Reliance Retail
675, Mubadala,Reliance Retail
675, General Atlantic,Reliance Retail
676,SoftBank Vision Fund,Gympass
676, Atomico,Gympass
676, General Atlantic,Gympass
676, Valor Capital Group,Gympass
676, Kaszek,Gympass
677,Tencent,GoTo Group
677, Google,GoTo Group
677, Temasek Holdings,GoTo Group
677, Primavera Capital Group,GoTo Group
677, Abu Dhabi Investment Authority,GoTo Group
678,Tiger Global Management,Moveworks
678, Bain Capital,Moveworks
678, Lightspeed Venture Partners,Moveworks
678, Kleiner Perkins,Moveworks
678, Bain Capital Ventures,Moveworks
679,Morgan Stanley,Lineage Logistics
679, Stonepeak Infrastructure Partners,Lineage Logistics
679, Rabobank,Lineage Logistics
679, D1 Capital Partners,Lineage Logistics
679, Healthcare of Ontario Pension Plan (HOOPP),Lineage Logistics
680,RPSG Capital Ventures,MCaffeine
680, Paragon Partners,MCaffeine
680, India,MCaffeine
680, Singularity Growth Opportunities Fund,MCaffeine
680, Amicus Capital,MCaffeine
680, Sharrp Ventures,MCaffeine
681,SoftBank,OneWeb
681, Qualcomm,OneWeb
681, Qualcomm Ventures,OneWeb
681, Airbus,OneWeb
681, SoftBank Capital,OneWeb
682,Tiger Global Management,Rupifi
682, Quona Capital,Rupifi
682, Google for Startups,Rupifi
682, Bessemer Venture Partners,Rupifi
682, Kunal Shah,Rupifi
683,Tencent,Meituan
683, IDG Capital,Meituan
683, Baillie Gifford,Meituan
683, Coatue,Meituan
683, Temasek Holdings,Meituan
684,EQT,IFS
684, TA Associates,IFS
684, Hg,IFS
684, Zobito,IFS
685,Wells Fargo,Notarize
685, Fifth Wall,Notarize
685, Jon Oringer,Notarize
685, Realogy Holdings,Notarize
685, Lennar Corporation,Notarize
686,Tiger Global Management,NoBroker
686, Elevation Capital,NoBroker
686, General Atlantic,NoBroker
686, BEENEXT,NoBroker
686, SAIF Partners,NoBroker
687,Insight Partners,HelloFresh
687, Baillie Gifford,HelloFresh
687, Rocket Internet,HelloFresh
687, HV Capital,HelloFresh
687, Kinnevik,HelloFresh
688,The Walt Disney Company,Hulu
688, Providence Equity Partners,Hulu
688, WarnerMedia,Hulu
689,Sequoia Capital India,Qure AI
689, Novo Holdings,Qure AI
689, HealthQuad,Qure AI
689, MassMutual Ventures,Qure AI
689, MassMutual Ventures Southeast Asia (MMV SEA),Qure AI
690,Team8,Noogata
690, Eight Roads Ventures,Noogata
690, Inference Partners,Noogata
690, Allon Ventures,Noogata
691,Crowdcube,Miso Robotics
691, SeedInvest,Miso Robotics
691, Meyer Global Management,Miso Robotics
691, Knockout Capital,Miso Robotics
691, Acacia Research,Miso Robotics
692,Kleiner Perkins,Plex
692, Patrick Peterson,Plex
692, Klass Capital,Plex
692, Scott Banister,Plex
692, Intercap,Plex
693,TCV,Rapid7
693, Bain Capital Ventures,Rapid7
694,Alumni Ventures,On Deck
694, Founders Fund,On Deck
694, DCVC,On Deck
694, Dylan Field,On Deck
694, Scott Belsky,On Deck
695,Techstars,Remitly
695, Goldman Sachs,Remitly
695, Barclays,Remitly
695, PayU,Remitly
695, QED Investors,Remitly
696,Andreessen Horowitz,Health IQ
696, Greylock,Health IQ
696, Menlo Ventures,Health IQ
696, Ribbit Capital,Health IQ
696, Rock Health,Health IQ
697,SoFi,Partake Foods
697, Marcy Venture Partners,Partake Foods
697, CircleUp,Partake Foods
697, Backstage Capital,Partake Foods
697, Shawn Carter,Partake Foods
698,General Catalyst,Hive
698, 8VC,Hive
698, Bracket Capital,Hive
698, Founders Fund,Hive
698, Eniac Ventures,Hive
699,Tencent,JD Logistics
699, Hillhouse Capital Group,JD Logistics
699, Sequoia Capital China,JD Logistics
699, K3 Ventures,JD Logistics
699, K11 Investment,JD Logistics
700,Y Combinator,Lattice
700, Tiger Global Management,Lattice
700, Founders Fund,Lattice
700, Shasta Ventures,Lattice
700, Elad Gil,Lattice
701,Reach Capital,Nearpod
701, Insight Partners,Nearpod
701, Miami Angels,Nearpod
701, Storm Ventures,Nearpod
701, Emerson Collective,Nearpod
702,Tiger Global Management,Osso VR
702, National Science Foundation,Osso VR
702, GSR Ventures,Osso VR
702, SignalFire,Osso VR
702, Oak HC/FT,Osso VR
703,Lyft,ID.me
703, SoftBank,ID.me
703, Morgan Stanley,ID.me
703, Airbnb,ID.me
703, BoxGroup,ID.me
704,Ubisoft,Overwolf
704, Andreessen Horowitz,Overwolf
704, Warner Music Group,Overwolf
704, Insight Partners,Overwolf
704, Griffin Gaming Partners,Overwolf
705,General Atlantic,o9 Solutions
705, Kohlberg Kravis Roberts,o9 Solutions
705, Generation Investment Management,o9 Solutions
705, Beyond Net Zero,o9 Solutions
706,Bill & Melinda Gates Foundation,Novartis
707,Sequoia Capital India,MobiKwik
707, NET1 UEPS Technologies Inc.,MobiKwik
707, American Express Ventures,MobiKwik
707, Trifecta Capital Advisors,MobiKwik
707, MediaTek,MobiKwik
708,Better Capital,Last9
708, Sequoia Capital India,Last9
708, Surge,Last9
709,AngelList,OPEN
709, Google,OPEN
709, Tiger Global Management,OPEN
709, Temasek Holdings,OPEN
709, 3one4 Capital,OPEN
710,Sequoia Capital,Rec Room
710, Betaworks,Rec Room
710, Coatue,Rec Room
710, Index Ventures,Rec Room
710, Acequia Capital (AceCap),Rec Room
711,Venrock,Quiq
711, Baird Capital,Quiq
711, Foundry Group,Quiq
711, NEXT Frontier Capital,Quiq
711, Teamworthy Ventures,Quiq
712,Andreessen Horowitz,Oculus
712, Spark Capital,Oculus
712, Matrix Partners,Oculus
712, Founders Fund,Oculus
712, Formation 8,Oculus
713,Tiger Global Management,Multiplier
713, Sequoia Capital India,Multiplier
713, Surge,Multiplier
713, Picus Capital,Multiplier
713, Golden Gate,Multiplier
714,CICC,LanzaTech
714, Qiming Venture Partners,LanzaTech
714, Khosla Ventures,LanzaTech
714, Novo Holdings,LanzaTech
714, Western Technology Investment,LanzaTech
715,Goldman Sachs,Lightricks
715, Insight Partners,Lightricks
715, Goldman Sachs Asset Management,Lightricks
715, Viola Ventures,Lightricks
715, Hanaco Venture Capital,Lightricks
716,Insight Partners,LaunchDarkly
716, Redpoint,LaunchDarkly
716, Alchemist Accelerator,LaunchDarkly
716, Vertex Ventures,LaunchDarkly
716, Bessemer Venture Partners,LaunchDarkly
717,Sequoia Capital,Nazara Technologies
717, Westbridge Capital,Nazara Technologies
717, IIFL Asset Management,Nazara Technologies
717, ESL Gaming,Nazara Technologies
717, Rajeev Chitrabhanu (MAGNETIC),Nazara Technologies
718,Summit Partners,Infor
718, Salesforce Ventures,Infor
718, Golden Gate Capital,Infor
718, Koch Equity Development,Infor
719,Andreessen Horowitz,Pindrop
719, Goldman Sachs,Pindrop
719, GV,Pindrop
719, Redpoint,Pindrop
719, Vitruvian Partners,Pindrop
720,Francisco Partners,Perforce Software
720, Clearlake Capital Group,Perforce Software
721,Andreessen Horowitz,Optimism
721, Paradigm,Optimism
721, IDEO CoLab Ventures,Optimism
722,Startup Wise Guys,Montonio
722, Index Ventures,Montonio
722, ff Venture Capital,Montonio
722, Superangel,Montonio
722, Tera Ventures,Montonio
723,Insight Partners,Leapsome
723, Creandum,Leapsome
723, Visionaries Club,Leapsome
724,SoftBank Vision Fund,Pantheon
724, Founder Collective,Pantheon
724, Scale Venture Partners,Pantheon
724, Foundry Group,Pantheon
724, Floodgate,Pantheon
725,Andreessen Horowitz,Jumio
725, Citi Ventures,Jumio
725, Centana Growth Partners,Jumio
725, Great Hill Partners,Jumio
725, Millennium Technology Value Partners,Jumio
726,Gaingels,Octane
726, FundersClub,Octane
726, FinTech Collective,Octane
726, Contour Venture Partners,Octane
726, Third Prime,Octane
727,Insight Partners,SafetyCulture
727, Tiger Global Management,SafetyCulture
727, Index Ventures,SafetyCulture
727, Blackbird Ventures,SafetyCulture
727, Morpheus Ventures,SafetyCulture
728,Amber Group,Mina
728, General Catalyst,Mina
728, Coinbase Ventures,Mina
728, Paradigm,Mina
728, FTX Ventures,Mina
730,Kraken,Prime Trust
730, Commerce Ventures,Prime Trust
730, Ayon Capital,Prime Trust
730, Samsung NEXT,Prime Trust
730, Mercato Partners,Prime Trust
731,General Catalyst,Guild Education
731, Redpoint,Guild Education
731, Bessemer Venture Partners,Guild Education
731, Rethink Education,Guild Education
731, Emerson Collective,Guild Education
732,Elephant,KnowBe4
732, Kohlberg Kravis Roberts,KnowBe4
732, TenEleven Ventures,KnowBe4
732, GS Growth,KnowBe4
732, March Capital,KnowBe4
734,Sequoia Capital,Houzz
734, T. Rowe Price,Houzz
734, New Enterprise Associates,Houzz
734, GGV Capital,Houzz
734, Kleiner Perkins,Houzz
735,Sequoia Capital,Natera
735, National Institutes of Health,Natera
735, Founders Fund,Natera
735, RA Capital Management,Natera
735, Lightspeed Venture Partners,Natera
736,Accel,Netskope
736, Lightspeed Venture Partners,Netskope
736, ICONIQ Growth,Netskope
736, Dell Technologies Capital,Netskope
736, PSP Investments,Netskope
737,Revolution,Lucid
737, HarbourVest Partners,Lucid
737, Sopris Capital Associates,Lucid
737, Revolutionâ€™s Rise of the Rest Seed Fund,Lucid
737, North Bridge Venture Partners & Growth Equity,Lucid
738,Alumni Ventures,Hydrow
738, Raptor Group,Hydrow
738, L Catterton,Hydrow
738, Winklevoss Capital,Hydrow
738, Activant Capital,Hydrow
739,Animoca Brands,OpenSea
739, Republic,OpenSea
739, Blockchain Capital,OpenSea
739, Andreessen Horowitz,OpenSea
739, Y Combinator,OpenSea
740,Temasek Holdings,Rent the Runway
740, Fidelity Management and Research Company,Rent the Runway
740, Franklin Templeton Investments,Rent the Runway
740, Highland Capital Partners,Rent the Runway
740, Kleiner Perkins,Rent the Runway
741,OurCrowd,Near
741, Sequoia Capital India,Near
741, Global Brain Corporation,Near
741, Telstra Ventures,Near
741, Canaan Partners,Near
742,F-Prime Capital,OTA Insight
742, Venrex,OTA Insight
742, Eight Roads Ventures,OTA Insight
742, Spectrum Equity,OTA Insight
742, Ricardo Schaefer,OTA Insight
744,Massachusetts Institute of Technology,Sales Impact Academy
744, Emerge Education,Sales Impact Academy
744, Stage 2 Capital,Sales Impact Academy
744, HubSpot Ventures,Sales Impact Academy
744, Round2 Capital Partners,Sales Impact Academy
745,CICC,Nreal
745, iQiyi,Nreal
745, Alibaba Group,Nreal
745, Shunwei Capital,Nreal
745, Sequoia Capital China,Nreal
746,Insight Partners,OpenWeb
746, AltaIR Capital,OpenWeb
746, Samsung NEXT,OpenWeb
746, EntrÃ©e Capital,OpenWeb
746, The New York Times,OpenWeb
747,Flipkart,GreyOrange
747, Tiger Global Management,GreyOrange
747, Blume Ventures,GreyOrange
747, InnoVen Capital,GreyOrange
747, Mithril Capital Management,GreyOrange
748,Warburg Pincus,Ola
748, Tencent,Ola
748, SoftBank,Ola
748, Yes Bank,Ola
748, Tiger Global Management,Ola
749,Picus Capital,Habyt
749, Hambro Perks Ltd.,Habyt
749, Inveready,Habyt
749, aldeA Ventures,Habyt
749, HV Capital,Habyt
750,Plug and Play Tech Center,Paysend
750, One Peak Partners,Paysend
750, InfraVia Capital Partners,Paysend
750, Global PayTech Ventures,Paysend
750, GVA Capital,Paysend
751,General Catalyst,Nova Credit
751, Y Combinator,Nova Credit
751, Index Ventures,Nova Credit
751, Nyca Partners,Nova Credit
751, Human Capital,Nova Credit
752,Artesian VC,Instaclustr
752, Level Equity Management,Instaclustr
752, Our Innovation Fund,Instaclustr
752, Sydney Angels,Instaclustr
752, Bailador,Instaclustr
753,Y Combinator,Gotrade
753, Raptor Group,Gotrade
753, Plug and Play Tech Center,Gotrade
753, BEENEXT,Gotrade
753, Soma Capital,Gotrade
754,Sequoia Capital,Maven Clinic
754, Lux Capital,Maven Clinic
754, 8VC,Maven Clinic
754, BoxGroup,Maven Clinic
754, Portfolia,Maven Clinic
755,Goodwater Capital,Jerry
755, FundersClub,Jerry
755, Y Combinator,Jerry
755, Liquid 2 Ventures,Jerry
755, Plug and Play Tech Center,Jerry
756,Navi Technologies,Infra.Market
756, Vivriti Capital,Infra.Market
756, Tiger Global Management,Infra.Market
756, CredAvenue,Infra.Market
756, Accel,Infra.Market
757,Goldman Sachs,Purplle
757, Sequoia Capital India,Purplle
757, Mumbai Angels,Purplle
757, NB Ventures,Purplle
757, Blume Ventures,Purplle
759,Northern Arc,ReshaMandi
759, Venture Catalysts,ReshaMandi
759, 9Unicorns Accelerator Fund,ReshaMandi
759, Axilor Ventures,ReshaMandi
759, Alteria Capital,ReshaMandi
760,U.S. Department of Health & Human Services,Regeneron
761,Andreessen Horowitz,Rutter
761, Y Combinator,Rutter
761, Liquid 2 Ventures,Rutter
761, Haystack,Rutter
761, Mischief,Rutter
762,Bessemer Venture Partners,Optimal Dynamics
762, Fusion Fund,Optimal Dynamics
762, The Westly Group,Optimal Dynamics
762, Newark Venture Partners,Optimal Dynamics
762, Embark Ventures,Optimal Dynamics
763,Francisco Partners,Redis
763, Tiger Global Management,Redis
763, SoftBank Vision Fund,Redis
763, Silicon Valley Bank,Redis
763, Viola Ventures,Redis
764,Silver Lake,Iterable
764, 500 Startups,Iterable
764, Index Ventures,Iterable
764, Adams Street Partners,Iterable
764, 645 Ventures,Iterable
765,Zoom,monday.com
765, Insight Partners,monday.com
765, Stripes,monday.com
765, Hamilton Lane,monday.com
765, HarbourVest Partners,monday.com
766,Amber Group,RockX
766, Matrixport,RockX
766, FBG Capital,RockX
766, IMO Ventures,RockX
766, Draper Dragon,RockX
767,Andreessen Horowitz,Mux
767, Y Combinator,Mux
767, Accel,Mux
767, Liquid 2 Ventures,Mux
767, Coatue,Mux
768,Tiger Global Management,Money View
768, Accel,Money View
768, Ribbit Capital,Money View
768, South Park Commons,Money View
768, Accel India,Money View
769,Y Combinator,Heap
769, Redpoint,Heap
769, Initialized Capital,Heap
769, WME,Heap
769, Goldman Sachs Asset Management,Heap
770,Techstars,Preply
770, The Family,Preply
770, Hoxton Ventures,Preply
770, One Way Ventures,Preply
770, All Iron Ventures,Preply
771,Project A Ventures,re:cap
771, Felix Capital,re:cap
771, Chris Adelsbach,re:cap
771, Possible Ventures,re:cap
771, EntrÃ©e Capital,re:cap
772,Insight Partners,Hootsuite
772, Fidelity,Hootsuite
772, Accel,Hootsuite
772, Craft Ventures,Hootsuite
772, OMERS Ventures,Hootsuite
773,Alumni Ventures,Hello Alice
773, QED Investors,Hello Alice
773, Sherpa,Hello Alice
773, Serena Ventures,Hello Alice
773, SVB Capital,Hello Alice
774,Goldman Sachs,Mirae Asset Global Investments
774, Naver,Mirae Asset Global Investments
774, Deutsche Bank,Mirae Asset Global Investments
775,Andreessen Horowitz,People.ai
775, Gaingels,People.ai
775, Y Combinator,People.ai
775, Index Ventures,People.ai
775, Shasta Ventures,People.ai
776,Y Combinator,Raptor Maps
776, DCVC,Raptor Maps
776, DNV GL,Raptor Maps
776, Struck Capital,Raptor Maps
776, Microsoft Climate Innovation Fund,Raptor Maps
777,IDG Capital,KuCoin
777, Matrix Partners,KuCoin
777, NEO Global Capital (NGC),KuCoin
777, Karnika Yashwant,KuCoin
778,General Catalyst,Origin
778, mymobiles price,Origin
778, Founders Fund,Origin
778, 01 Advisors,Origin
778, Felicis Ventures,Origin
779,Manulife Financial,League
779, OMERS Ventures,League
779, RBC Capital,League
779, Foundation Capital,League
779, Real Ventures,League
780,Temasek Holdings,Info Edge
780, Lightbox,Info Edge
781,Alumni Ventures,JumpCloud
781, Techstars,JumpCloud
781, OurCrowd,JumpCloud
781, General Atlantic,JumpCloud
781, Foundry Group,JumpCloud
782,Coatue,Panther Labs
782, Lightspeed Venture Partners,Panther Labs
782, ICONIQ Growth,Panther Labs
782, Innovation Endeavors,Panther Labs
782, 645 Ventures,Panther Labs
783,Blackstone Group,NCR
784,European Investment Bank,Orange
785,SAP,Icertis
785, B Capital Group,Icertis
785, Headline,Icertis
785, SoftBank Vision Fund,Icertis
785, Eight Roads Ventures,Icertis
786,Accel,LetsVenture
786, Times Internet,LetsVenture
786, Girish Mathrubootham,LetsVenture
786, Chiratae Ventures,LetsVenture
786, Rohit Bansal,LetsVenture
787,Alchemist Accelerator,MoEngage
787, F-Prime Capital,MoEngage
787, Steadview Capital,MoEngage
787, Matrix Partners India,MoEngage
787, Eight Roads Ventures,MoEngage
788,Gojo & Company,MyShubhLife
788, Flourish Ventures,MyShubhLife
788, BEENEXT,MyShubhLife
788, Patamar Capital,MyShubhLife
788, Pravega Ventures,MyShubhLife
789,lool Ventures,Home365
789, UpWest,Home365
789, J-Ventures,Home365
789, Viola Growth,Home365
789, North First Ventures,Home365
790,Warburg Pincus,Helix
790, Mayo Clinic,Helix
790, Temasek Holdings,Helix
790, National Institutes of Health,Helix
790, Casdin Capital,Helix
791,Tiger Global Management,Procore
791, Bienville Capital,Procore
791, Tech Coast Angels,Procore
791, Bessemer Venture Partners,Procore
791, Lead Edge Capital,Procore
792,Seedcamp,Pleo
792, Creandum,Pleo
792, Coatue,Pleo
792, Stripes,Pleo
792, Bain Capital Ventures,Pleo
793,Sequoia Capital,Magic Eden
793, Greylock,Magic Eden
793, Paradigm,Magic Eden
793, Electric Capital,Magic Eden
793, Solana Ventures,Magic Eden
794,Digital Currency Group,OXIO
794, ParaFi Capital,OXIO
794, Monashees,OXIO
794, Multicoin Capital,OXIO
794, FinTech Collective,OXIO
795,MassChallenge,Phool
795, Sixth Sense Ventures,Phool
795, Indian Angel Network,Phool
795, Alia Bhatt,Phool
795, IAN Fund,Phool
796,Tencent,Pocket FM
796, Naver,Pocket FM
796, Goodwater Capital,Pocket FM
796, Lightspeed Venture Partners,Pocket FM
796, Times Internet,Pocket FM
797,Valor Equity Partners,HackerOne
797, New Enterprise Associates,HackerOne
797, EQT Ventures,HackerOne
797, Benchmark,HackerOne
797, Dragoneer Investment Group,HackerOne
798,New Enterprise Associates,Juniper Networks
798, Kleiner Perkins,Juniper Networks
799,Google Launchpad Accelerator,QueQ
799, Bon Angels Venture Partners,QueQ
799, True Incube,QueQ
800,Energy Impact Partners,GridX
800, Moore Strategic Ventures,GridX
800, NGP Energy Capital Management,GridX
800, Sunfox Capital,GridX
801,Insight Partners,Optibus
801, Alibaba Group,Optibus
801, Bessemer Venture Partners,Optibus
801, Pitango Venture Capital,Optibus
801, New Era Capital Partners,Optibus
802,Craft Ventures,Northspyre
802, CRV,Northspyre
802, Tamarisc Ventures,Northspyre
802, Des Traynor,Northspyre
803,Sequoia Capital,Insider
803, 500 Startups,Insider
803, Sequoia Capital India,Insider
803, Endeavor Catalyst,Insider
803, Wamda Capital,Insider
804,Tencent,GoStudent
804, SoftBank Vision Fund,GoStudent
804, Coatue,GoStudent
804, Prosus,GoStudent
804, Speedinvest,GoStudent
805,Warburg Pincus,Phil
805, Crosslink Capital,Phil
805, Silicon Valley Bank,Phil
805, Proton Enterprises,Phil
805, Eniac Ventures,Phil
806,Tencent,GrowSari
806, Wavemaker Partners,GrowSari
806, International Finance Corporation,GrowSari
806, Kohlberg Kravis Roberts,GrowSari
806, Saison Capital,GrowSari
807,BEENEXT,mfine
807, Stellaris Venture Partners,mfine
807, Alteria Capital,mfine
807, Prime Venture Partners,mfine
807, SBI Investment,mfine
808,Square,Livspace
808, Goldman Sachs,Livspace
808, Jungle Ventures,Livspace
808, Bessemer Venture Partners,Livspace
808, IKEA,Livspace
809,New Enterprise Associates,NODAR
809, Plug and Play Tech Center,NODAR
809, Rhapsody Venture Partners,NODAR
810,Andreessen Horowitz,PagerDuty
810, Y Combinator,PagerDuty
810, T. Rowe Price,PagerDuty
810, Accel,PagerDuty
810, Bessemer Venture Partners,PagerDuty
811,ByteDance,Li Auto
811, BlueRun Ventures,Li Auto
811, Yintai Group,Li Auto
811, Matrix Partners China,Li Auto
811, Source Code Capital,Li Auto
812,Animoca Brands,GuildFi
812, Dapper Labs,GuildFi
812, Hashed,GuildFi
812, DeFiance Capital,GuildFi
812, Coinbase Ventures,GuildFi
813,Mirae Asset Global Investments,Naver
814,500 Startups,Kin Insurance
814, QED Investors,Kin Insurance
814, Flourish Ventures,Kin Insurance
814, Commerce Ventures,Kin Insurance
814, Alpha Edison,Kin Insurance
816,Andreessen Horowitz,Komodo Health
816, Tiger Global Management,Komodo Health
816, Oak HC/FT,Komodo Health
816, Casdin Capital,Komodo Health
816, SVB Capital,Komodo Health
817,FundersClub,Grin
817, LAUNCH,Grin
817, Headline,Grin
817, Bond,Grin
817, Imaginary Ventures,Grin
818,Sequoia Capital,iQiyi
818, IDG Capital,iQiyi
818, Hillhouse Capital Group,iQiyi
818, Shunwei Capital,iQiyi
818, Boyu Capital,iQiyi
819,General Catalyst,OneCode
819, Nexus Venture Partners,OneCode
819, Surge,OneCode
819, Kunal Shah,OneCode
819, Sujeet Kumar,OneCode
820,Renren,Poplar Homes
820, Jeff Dean,Poplar Homes
820, LL Funds,Poplar Homes
820, XG Ventures,Poplar Homes
820, Crescent Cove Advisors,Poplar Homes
821,Sequoia Capital,Productboard
821, Tiger Global Management,Productboard
821, Craft Ventures,Productboard
821, Index Ventures,Productboard
821, Bessemer Venture Partners,Productboard
822,Alumni Ventures,Rigetti Computing
822, Ampere Computing,Rigetti Computing
822, Andreessen Horowitz,Rigetti Computing
822, Lux Capital,Rigetti Computing
822, Y Combinator,Rigetti Computing
823,Summit Partners,Optimove
823, Israel Growth Partners,Optimove
824,Mizuho Bank,Line
824, LINE Financial Corporation,Line
824, Orient Corporation,Line
825,Tencent,Pinduoduo
825, IDG Capital,Pinduoduo
825, Hillhouse Capital Group,Pinduoduo
825, Sequoia Capital China,Pinduoduo
825, Cathay Innovation,Pinduoduo
826,Spark Capital,Justworks
826, Union Square Ventures,Justworks
826, Redpoint,Justworks
826, Bain Capital,Justworks
826, FirstMark,Justworks
827,Tech Coast Angels,Mindbody
827, Wavemaker Partners,Mindbody
827, Bessemer Venture Partners,Mindbody
827, Institutional Venture Partners,Mindbody
827, Sixth Street,Mindbody
828,Spark Capital,Hivemapper
828, GV,Hivemapper
828, 75 & Sunny,Hivemapper
828, Craft Ventures,Hivemapper
828, Founder Collective,Hivemapper
829,International Finance Corporation,Navi Technologies
829, Sachin Bansal,Navi Technologies
829, Gaja Capital,Navi Technologies
829, Ankit Agarwal,Navi Technologies
829, Samit Shetty,Navi Technologies
830,GV,Podium
830, Y Combinator,Podium
830, Accel,Podium
830, Summit Partners,Podium
830, Institutional Venture Partners,Podium
831,Insight Partners,Indiegogo
831, Draper Associates,Indiegogo
831, Khosla Ventures,Indiegogo
831, ff Venture Capital,Indiegogo
831, Kleiner Perkins,Indiegogo
832,Seedcamp,Revolut
832, Tiger Global Management,Revolut
832, SoftBank Vision Fund,Revolut
832, Seedrs,Revolut
832, Global Founders Capital,Revolut
834,ParaFi Capital,Rarible
834, Coinbase Ventures,Rarible
834, Venrock,Rarible
834, 1kx,Rarible
834, CoinFund,Rarible
835,WestBridge Capital,IndiQube
835, Ashish Gupta,IndiQube
836,M13,Ring
836, Qualcomm Ventures,Ring
836, Kleiner Perkins,Ring
