Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
SparkCognition,"Austin, Texas, United States",Active,For Profit,,,,,10.0,31.0,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Analytics, Artificial Intelligence, Cyber Security, Machine Learning, Software",8.0,Late Stage Venture,2022-01-25,123000000.0,USD,123000000.0,Series D,Series D,123000000.0,USD,123000000.0,286581738.0,USD,286581738.0,6.0,14.772,"10,871.67",145.0,5628874.0,USD,5628874.0,"The Boeing Company, Temasek Holdings, US Department of Energy, Energize Ventures, Hearst Ventures"
Zebra Technologies,"Lincolnshire, Illinois, United States",Active,For Profit,1.0,1.0,,,,6.0,"Content and Publishing, Hardware, Information Technology, Manufacturing, Media and Entertainment, Software, Transportation, Travel and Tourism","Hardware, Hospitality, Information Technology, Logistics, Manufacturing, News, Social News, Software, Transportation",2.0,IPO,2014-09-16,2000000000.0,USD,2000000000.0,Post-IPO Debt,Post-IPO Equity,,,,2000000000.0,USD,2000000000.0,26.0,"2,735,186","2,390,737.33",557.0,,,,"Morgan Stanley, Deutsche Bank, North Coast Ventures, J.P. Morgan Securities Inc., Plymouth Growth"
Zendesk,"San Francisco, California, United States",Active,For Profit,7.0,2.0,1.0,2.0,5.0,11.0,"Other, Professional Services, Software","Customer Service, Enterprise Software, SaaS, Software",8.0,IPO,2019-09-18,,,,Grant,Post-IPO Equity,,,,85500000.0,USD,85500000.0,72.0,"77,030,596","73,536,668.5",628.0,148319831.0,USD,148319831.0,"Goldman Sachs, Matrix Partners, Redpoint, Index Ventures, GGV Capital"
Startup Wise Guys,"Tallinn, Harjumaa, Estonia",Active,,346.0,89.0,4.0,7.0,,1.0,"Financial Services, Hardware, Information Technology, Other, Privacy and Security, Software, Sustainability","Augmented Reality, B2B, Cyber Security, FinTech, SaaS, Sustainability, Virtual Reality",1.0,,2019-01-01,8800000.0,EUR,10086121.0,Undisclosed,Undisclosed,8800000.0,EUR,10086121.0,8800000.0,EUR,10086122.0,17.0,8.799,"7,102.83",29.0,,,,European regional development fund (ERDF)
Wonderschool,"San Francisco, California, United States",Active,For Profit,,,,,5.0,31.0,"Community and Lifestyle, Education, Health Care, Software","Child Care, EdTech, Education, Parenting, Primary Education",8.0,Early Stage Venture,2022-01-11,25000000.0,USD,25000000.0,Series B,Series B,25000000.0,USD,25000000.0,49100000.0,USD,49100000.0,,82.837,"48,447.33",136.0,,,,"Citi, Andreessen Horowitz, Gaingels, Goldman Sachs, FundersClub"
Uber,"San Francisco, California, United States",Active,For Profit,22.0,8.0,2.0,5.0,20.0,116.0,"Apps, Mobile, Software, Transportation","Logistics, Mobile Apps, Public Transportation, Ride Sharing, Transportation",33.0,IPO,2020-09-14,500000000.0,USD,500000000.0,Post-IPO Debt,Post-IPO Equity,500000000.0,USD,500000000.0,25212450000.0,USD,25212450000.0,75.0,"185,852,756","97,570,601.33",553.0,882646852.0,USD,882646852.0,"Tencent, Techstars, Citi, Uber, Sequoia Capital"
Wayflyer,"Dublin, Dublin, Ireland",Active,,,,,,3.0,16.0,"Commerce and Shopping, Data and Analytics, Financial Services","Analytics, E-Commerce, Finance",5.0,Early Stage Venture,2022-02-01,150000000.0,USD,150000000.0,Series B,Series B,150000000.0,USD,150000000.0,336200000.0,USD,336200000.0,,43.635,"27,099.67",465.0,,,,"JP Morgan, QED Investors, Prosus Ventures, Anatoly Yakovenko, Speedinvest"
Stockal,"New York, New York, United States",Active,For Profit,,,,,6.0,21.0,"Data and Analytics, Financial Services, Lending and Investments","Analytics, Big Data, Finance, FinTech, Stock Exchanges, Trading Platform",6.0,Early Stage Venture,2022-04-14,685000000.0,INR,8995225.0,Series A,Series A,685000000.0,INR,8995225.0,14795225.0,USD,14795225.0,,78.933,"37,368.17",710.0,,,,"Kristal.AI, Hashed, HDFC Bank, trica, Cadenza Capital Management"
Securitize,"San Francisco, California, United States",Active,For Profit,,,,,3.0,34.0,"Financial Services, Information Technology, Other, Payments, Software","Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology",9.0,Early Stage Venture,2021-06-21,48000000.0,USD,48000000.0,Series B,Series B,48000000.0,USD,48000000.0,100200000.0,USD,100200000.0,,58.688,53.434,137.0,,,,"Blockchain Capital, Ava Labs, Ripple, Coinbase Ventures, Ripio"
Somatus,"Mclean, Virginia, United States",Active,For Profit,,,,,5.0,13.0,Health Care,"Health Care, Health Diagnostics, Hospital, Medical, Wellness",5.0,Late Stage Venture,2022-02-22,325000000.0,USD,325000000.0,Series E,Series E,325000000.0,USD,325000000.0,465120000.0,USD,465120000.0,,5.765,"10,827.67",19.0,,,,"Fidelity Management and Research Company, RA Capital Management, GIC, Optum Ventures, Anthem"
Trell,"Bangalore City, Karnataka, India",Active,For Profit,1.0,,,,10.0,35.0,"Commerce and Shopping, Community and Lifestyle, Internet Services, Media and Entertainment, Video","E-Commerce, E-Commerce Platforms, Lifestyle, Social Network, Video",8.0,Early Stage Venture,2021-07-12,3350000000.0,INR,44941137.0,Series B,Series B,3350000000.0,INR,44941137.0,61891137.0,USD,61891137.0,,,,,,,,"Sequoia Capital India, Surge, Samsung Ventures, BEENEXT, Bossa Nova Investimentos"
WinZO,"New Delhi, Delhi, India",Active,For Profit,2.0,,,,5.0,14.0,"Gaming, Media and Entertainment, Sports","Digital Entertainment, eSports, Gaming, Media and Entertainment, Online Games",6.0,Late Stage Venture,2021-07-02,65000000.0,USD,65000000.0,Series C,Series C,65000000.0,USD,65000000.0,110500000.0,USD,110500000.0,,"1,491,983","1,251,670.33",471.0,,,,"Kalaari Capital, Makers Fund, Griffin Gaming Partners, Courtside Ventures, Hike"
Stax,"Orlando, Florida, United States",Active,For Profit,,,,,2.0,10.0,"Financial Services, Mobile, Payments, Software","Financial Services, Mobile Payments, Payments, Software, Transaction Processing",5.0,Late Stage Venture,2022-03-08,245000000.0,USD,245000000.0,Series D,Series D,245000000.0,USD,245000000.0,263250000.0,USD,263250000.0,,92.822,"107,009.67",359.0,,,,"HarbourVest Partners, venVelo, DeepWork Capital, Fulcrum Equity Partners, Greater Sum Ventures"
SamCart,"Austin, Texas, United States",Active,For Profit,,,,,2.0,5.0,"Commerce and Shopping, Internet Services, Media and Entertainment, Other","Content Creators, E-Commerce, E-Commerce Platforms, Subscription Service",3.0,Early Stage Venture,2022-04-07,82000000.0,USD,82000000.0,Series B,Series B,82000000.0,USD,82000000.0,95000000.0,USD,95000000.0,,"2,745,658","2,697,210.67",1.529,,,,"Fin Venture Capital, TTV Capital, Eldridge, George Kaiser Family Foundation, eGateway Capital"
Voyager,"Jersey City, New Jersey, United States",Active,For Profit,3.0,1.0,,1.0,1.0,3.0,"Financial Services, Information Technology, Payments, Software","Cryptocurrency, Financial Services, FinTech, Information Technology",4.0,IPO,2021-02-12,100000000.0,USD,100000000.0,Post-IPO Equity,Post-IPO Equity,100000000.0,USD,100000000.0,100110545.0,USD,100110545.0,,"1,872,939","706,437.5",559.0,,,,"Streamlined Ventures, Moving Capital, Stifel Financial"
Snapdeal,"Gurgaon, Haryana, India",Active,For Profit,9.0,7.0,,5.0,15.0,26.0,"Commerce and Shopping, Internet Services","E-Commerce, Internet, Retail, Shopping",14.0,,2019-07-23,,,,Venture - Series Unknown,Venture - Series Unknown,,,,1776260825.0,USD,1776260825.0,1.0,"10,795,666","19,683,386.33",390.0,,,,"Alibaba Group, Kalaari Capital, BlackRock, Temasek Holdings, Foxconn Technology Group"
Silverfort,"Tel Aviv, Tel Aviv, Israel",Active,For Profit,,,,,4.0,11.0,"Information Technology, Privacy and Security, Software","Cyber Security, Enterprise Software, Identity Management, Network Security",7.0,Late Stage Venture,2022-04-12,65000000.0,USD,65000000.0,Series C,Series C,65000000.0,USD,65000000.0,106500000.0,USD,106500000.0,4.0,14.064,"12,609.67",14.0,,,,"SixThirty, Singtel Innov8, StageOne Ventures, TLV Partners, Aspect Ventures"
Sendoso,"San Francisco, California, United States",Active,For Profit,,,,,4.0,11.0,"Information Technology, Other, Sales and Marketing, Software","B2B, Direct Sales, Marketing Automation, SaaS, Sales Automation",5.0,Late Stage Venture,2021-09-14,100000000.0,USD,100000000.0,Series C,Series C,100000000.0,USD,100000000.0,152700000.0,USD,152700000.0,6.0,178.69,"90,570.67",75.0,204070.0,USD,204070.0,"SoftBank Vision Fund, Craft Ventures, Oak HC/FT, Hack VC, Storm Ventures"
waresix,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,,,,,6.0,13.0,"Commerce and Shopping, Transportation","E-Commerce, Freight Service, Logistics, Supply Chain Management, Transportation, Warehousing",8.0,Early Stage Venture,2022-04-12,50000000.0,USD,50000000.0,Series B,Series B,50000000.0,USD,50000000.0,179000000.0,USD,179000000.0,,3.116,"3,381.67",219.0,,,,"Monkâ€™s Hill Ventures, MDI Ventures, Tiger Global Management, Temasek Holdings, Emtek Group"
Tomo,"Stamford, Connecticut, United States",Active,For Profit,,,,,4.0,12.0,Financial Services,"Finance, Financial Services, FinTech",4.0,Early Stage Venture,2022-03-21,40000000.0,USD,40000000.0,Series A,Series A,40000000.0,USD,40000000.0,110000000.0,USD,110000000.0,,22.929,"11,012.17",355.0,,,,"SVB Capital, Ribbit Capital, NFX, Zigg Capital, DST Global"
Welcome Tech,"Los Angeles, California, United States",Active,For Profit,,,,,4.0,12.0,"Community and Lifestyle, Data and Analytics, Design, Financial Services, Health Care, Lending and Investments","Banking, Communities, Financial Services, Health Care, Market Research",6.0,,2022-04-14,30000000.0,USD,30000000.0,Venture - Series Unknown,Venture - Series Unknown,30000000.0,USD,30000000.0,73000000.0,USD,73000000.0,,23.857,,0.0,,,,"SB Opportunity Fund, TTV Capital, Owl Ventures, Crosscut Ventures, Next Play Capital"
Sorare,"Paris, Ile-de-France, France",Active,For Profit,,,,,5.0,35.0,"Financial Services, Gaming, Other, Payments, Software, Sports","Blockchain, Cryptocurrency, Fantasy Sports, Gaming, Soccer",4.0,Early Stage Venture,2021-09-20,680000000.0,USD,680000000.0,Series B,Series B,680000000.0,USD,680000000.0,739245791.0,USD,739245791.0,,"12,513,505","3,677,607",626.0,,,,"SoftBank, Eurazeo, Seedcamp, Headline, Accel"
Traveloka,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,6.0,3.0,,,5.0,9.0,"Data and Analytics, Internet Services, Media and Entertainment, Travel and Tourism","Big Data, In-Flight Entertainment, Search Engine, Travel",6.0,,2020-07-28,250000000.0,USD,250000000.0,Venture - Series Unknown,Venture - Series Unknown,250000000.0,USD,250000000.0,1170000000.0,USD,1170000000.0,,"21,515,727","14,080,751.33",480.0,,,,"Sequoia Capital, Hillhouse Capital Group, JD.com, Global Founders Capital, East Ventures"
TrueLayer,"London, England, United Kingdom",Active,For Profit,1.0,,,,7.0,24.0,"Financial Services, Lending and Investments, Software","Banking, Developer Tools, Financial Services, FinTech",8.0,Late Stage Venture,2021-09-21,94950000.0,GBP,129684591.0,Series E,Series E,94950000.0,GBP,129684591.0,271484591.0,USD,271484591.0,4.0,"1,160,806","467,061.17",197.0,32276994.0,USD,32276994.0,"Tencent, Stripe, Tiger Global Management, Anthemis Group, Temasek Holdings"
Triple Whale,"Jerusalem, Yerushalayim, Israel",Active,For Profit,,,,,2.0,3.0,"Apps, Commerce and Shopping, Data and Analytics, Design, Information Technology, Software","Apps, Data Integration, Data Visualization, E-Commerce",2.0,Early Stage Venture,2022-03-24,24000000.0,USD,24000000.0,Series A,Series A,24000000.0,USD,24000000.0,27700000.0,USD,27700000.0,,135.413,"62,440.5",316.0,,,,"Elephant, NFX, Shaan Puri"
Worldcoin,"Berlin, Berlin, Germany",Active,,,,,,,19.0,"Financial Services, Payments, Software",Cryptocurrency,2.0,,2022-03-23,100000000.0,USD,100000000.0,Undisclosed,Undisclosed,100000000.0,USD,100000000.0,125000000.0,USD,125000000.0,,54.14,"45,787.33",10.0,,,,"Digital Currency Group, Andreessen Horowitz, Hashed, Coinbase Ventures, Fifty Years"
Shippo,"San Francisco, California, United States",Active,For Profit,1.0,,,,4.0,20.0,"Commerce and Shopping, Other, Software, Transportation","B2B, E-Commerce, Logistics, Software, Supply Chain Management",10.0,,2021-12-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,154275000.0,USD,154275000.0,3.0,"1,999,999","2,338,430.33",532.0,1103079.0,USD,1103079.0,"500 Startups, FundersClub, Union Square Ventures, BoxGroup, Slow Ventures"
Umba,"San Francisco, California, United States",Active,For Profit,,,,,1.0,17.0,"Apps, Financial Services, Lending and Investments, Mobile, Other, Software","Emerging Markets, Financial Services, FinTech, Micro Lending, Mobile Apps",4.0,Early Stage Venture,2022-04-13,15000000.0,USD,15000000.0,Series A,Series A,15000000.0,USD,15000000.0,17000000.0,USD,17000000.0,,18.311,"5,303.33",1.759,,,,"Lux Capital, mymobiles price, Palm Drive Capital, Bossa Nova Investimentos, Streamlined Ventures"
SpotOn,"San Francisco, California, United States",Active,For Profit,,,,,4.0,13.0,"Financial Services, Information Technology, Mobile, Payments, Sales and Marketing, Software","Mobile Payments, Payments, Sales Automation, Software",7.0,Late Stage Venture,2021-09-13,300000000.0,USD,300000000.0,Series E,Series E,300000000.0,USD,300000000.0,628000000.0,USD,628000000.0,2.0,"1,075,297","990,911.17",382.0,98952.0,USD,98952.0,"Andreessen Horowitz, Mubadala, Coatue, Franklin Templeton Investments, Wellington Management"
Spring Health,"New York, New York, United States",Active,For Profit,,,,,5.0,22.0,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence, Health Care, Machine Learning, Outpatient Care",7.0,,2022-03-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,295500000.0,USD,295500000.0,,119.203,"69,882.67",1.657,,,,"Tiger Global Management, RRE Ventures, Operator Partners, Northzone, AlleyCorp"
Tinder,"West Hollywood, California, United States",Active,For Profit,1.0,,1.0,,2.0,2.0,"Community and Lifestyle, Internet Services, Media and Entertainment, Mobile","Dating, Mobile, Search Engine, Social Media",3.0,,2017-10-10,,,,Undisclosed,Undisclosed,,,,50000000.0,USD,50000000.0,7.0,"176,145,141","62,020,858.67",1.589,,,,"Benchmark, IAC"
Zilch,"London, England, United Kingdom",Active,For Profit,,,,,4.0,6.0,"Financial Services, Lending and Investments, Payments","Banking, Financial Services, FinTech, Payments",5.0,Late Stage Venture,2021-11-10,95000000.0,EUR,109116010.0,Series C,Series C,95000000.0,EUR,109116010.0,339343574.0,USD,339343574.0,,584.195,"254,578.17",119.0,,,,"Goldman Sachs Asset Management, Ventura Capital, dmg ventures, Gauss Ventures, M&F Fund"
WonderFi,"Vancouver, British Columbia, Canada",Active,For Profit,1.0,1.0,,1.0,5.0,10.0,"Financial Services, Information Technology, Other, Payments, Software","Bitcoin, Blockchain, Ethereum, Finance, Information Technology, Software",5.0,IPO,2021-10-26,26400000.0,CAD,21304531.0,Post-IPO Debt,Series A,5600000.0,USD,5600000.0,49086002.0,USD,49086002.0,,39.865,"23,995.33",426.0,,,,"Argo Blockchain, Alameda Research, Animal Capital, Canaccord Genuity Group, Josh Richards"
WorkRamp,"San Carlos, California, United States",Active,For Profit,,,,,5.0,18.0,"Education, Software","Corporate Training, E-Learning, Enterprise Software, SaaS",5.0,Late Stage Venture,2022-03-23,40000000.0,USD,40000000.0,Series C,Series C,40000000.0,USD,40000000.0,67200000.0,USD,67200000.0,1.0,177.301,"198,659.83",1.432,,,,"Y Combinator, Liquid 2 Ventures, Initialized Capital, OMERS Ventures, Elad Gil"
Tractable,"London, England, United Kingdom",Active,For Profit,,,,,6.0,17.0,"Artificial Intelligence, Data and Analytics, Financial Services, Hardware, Science and Engineering, Software","Artificial Intelligence, Computer Vision, Insurance, Machine Learning, Software",8.0,Late Stage Venture,2021-06-16,60000000.0,USD,60000000.0,Series D,Series D,60000000.0,USD,60000000.0,119900000.0,USD,119900000.0,13.0,9.362,"11,019.67",106.0,8833351.0,USD,8833351.0,"Entrepreneur First, Insight Partners, Acequia Capital (AceCap), Plug and Play Tech Center, Zetta Venture Partners"
ServiceTitan,"Glendale, California, United States",Active,For Profit,,,,,7.0,16.0,"Information Technology, Real Estate, Sales and Marketing, Software","CRM, Home Services, Information Technology, SaaS, Software",8.0,Late Stage Venture,2021-06-30,200000000.0,USD,200000000.0,Series G,Series G,200000000.0,USD,200000000.0,1099777129.0,USD,1099777129.0,1.0,"1,894,350","2,261,456",1.597,2106004.0,USD,2106004.0,"Tiger Global Management, T. Rowe Price, Index Ventures, Bessemer Venture Partners, Thoma Bravo"
Yuga Labs,"Miami, Florida, United States",Active,For Profit,,,,,1.0,36.0,"Financial Services, Media and Entertainment, Other, Payments, Software","Blockchain, Cryptocurrency, Digital Media, Ethereum",1.0,Seed,2022-03-22,450000000.0,USD,450000000.0,Seed,Seed,450000000.0,USD,450000000.0,450000000.0,USD,450000000.0,,18.457,"772,317.5",4.0,,,,"MoonPay, Genies, Animoca Brands, Coinbase, Samsung Electronics"
Voyager Innovations,"Mandaluyong, Cavite, Philippines",Active,For Profit,,,,,5.0,11.0,"Financial Services, Lending and Investments, Payments","Banking, Financial Services, Payments",5.0,Private Equity,2022-04-12,210000000.0,USD,210000000.0,Convertible Note,Private Equity,167000000.0,USD,167000000.0,712000000.0,USD,712000000.0,,"1,738,525","2,543,771.83",374.0,,,,"IFC Financial Institutions Growth Fund, IFC Emerging Asia Fund, Tencent, Susquehanna International Group (SIG), PLDT"
TransUnion,"Chicago, Illinois, United States",Active,For Profit,11.0,7.0,3.0,2.0,,2.0,"Financial Services, Information Technology, Professional Services","Credit Bureau, Financial Services, Information Technology, Legal",3.0,M&A,2018-04-26,1400000000.0,USD,1400000000.0,Post-IPO Debt,Venture - Series Unknown,7250806.0,USD,7250806.0,1407250806.0,USD,1407250806.0,14.0,"8,176,569","5,966,295.17",554.0,215261553.0,USD,215261553.0,"QED Investors, Mangrove Capital Partners"
